year,year_index,geo,income_quintile,expense_category,coordinate,expense,log_expense,age_group,family_income_group,income,log_income,expense_to_income_ratio
2010,0,Province 11,All quintiles,Clothing and accessories,C1036,3072.0,3.487421,Total all ages,"$90,000 and over",77720.0,4.890533,0.03952651
2010,0,Province 11,All quintiles,Transportation,C1037,11615.0,4.065019,Total all ages,Median total income,81620.0,4.911797,0.14230581
2010,0,Province 11,Lowest quintile,Total expenditure,C1038,30066.0,4.478076,0 to 24 years,All income groups,3230.0,3.509203,9.30835913
2010,0,Province 11,Lowest quintile,Food purchased from stores,C1039,3347.0,3.524656,0 to 24 years,"Under $10,000",110.0,2.041393,30.42727273
2010,0,Province 11,Lowest quintile,Food purchased from restaurants,C1040,974.0,2.988559,0 to 24 years,"$10,000 and over",3120.0,3.494155,0.31217949
2010,0,Province 11,Lowest quintile,Shelter,C1041,8912.0,3.949975,0 to 24 years,"$15,000 and over",2960.0,3.471292,3.01081081
2010,0,Province 11,Lowest quintile,Principal accommodation,C1042,8501.0,3.92947,0 to 24 years,"$20,000 and over",2730.0,3.436163,3.11391941
2010,0,Province 11,Lowest quintile,Rented living quarters,C1043,3855.0,3.586024,0 to 24 years,"$25,000 and over",2470.0,3.392697,1.56072874
2010,0,Province 11,Lowest quintile,Owned living quarters,C1044,2827.0,3.451326,0 to 24 years,"$30,000 and over",2190.0,3.340444,1.29086758
2010,0,Province 11,Lowest quintile,"Water, fuel and electricity for principal accommodation",C1045,1819.0,3.259833,0 to 24 years,"$35,000 and over",1880.0,3.274158,0.96755319
2010,0,Province 11,Lowest quintile,Other accommodation,C1046,410.0,2.612784,0 to 24 years,"$40,000 and over",1610.0,3.206826,0.25465839
2010,0,Province 11,Lowest quintile,Household operations,C1047,2050.0,3.311754,0 to 24 years,"$45,000 and over",1370.0,3.136721,1.49635036
2010,0,Province 11,Lowest quintile,Communications,C1048,1051.0,3.021603,0 to 24 years,"$50,000 and over",1130.0,3.053078,0.9300885
2010,0,Province 11,Lowest quintile,Household furnishings and equipment,C1049,821.0,2.914343,0 to 24 years,"$60,000 and over",730.0,2.863323,1.12465753
2010,0,Province 11,Lowest quintile,Household furnishings,C1050,402.0,2.604226,0 to 24 years,"$70,000 and over",420.0,2.623249,0.95714286
2010,0,Province 11,Lowest quintile,Household equipment,C1051,367.0,2.564666,0 to 24 years,"$75,000 and over",290.0,2.462398,1.26551724
2010,0,Province 11,Lowest quintile,Household appliances,C1052,209.0,2.320146,0 to 24 years,"$80,000 and over",200.0,2.30103,1.045
2010,0,Province 11,Lowest quintile,Clothing and accessories,C1053,1162.0,3.065206,0 to 24 years,"$90,000 and over",100.0,2.0,11.62
2010,0,Province 11,Lowest quintile,Transportation,C1054,5191.0,3.715251,0 to 24 years,Median total income,39960.0,4.601625,0.1299049
